Label,Colony,Inferred,Pop,Prop
93,OF04W4,3,2,0.004
94,OF04W5,3,2,0.004
95,OF21,1,2,0.004
96,OF31b,1,2,0.004
97,OF33,1,2,0.004
98,OF36,1,2,0.004
99,OF38,1,2,0.004
100,OF39,1,2,0.004
101,OF53,1,2,0.004
102,OF100,1,2,0.004
