		L18		Myrt3		P12-1		Pb7		Pb8		Pr1		Pb2		Pb4		Pb9		Po3		Po7		Po8	
CT64	2	157	157	175	175	-9	-9	148	148	276	278	401	401	304	304	257	280	-9	-9	160	187	240	249	233	245
CT65	1	157	163	175	175	-9	-9	142	144	271	284	395	426	291	292	179	229	316	327	150	168	243	255	234	234
CT66	2	158	161	177	177	311	314	148	174	282	290	401	401	302	302	259	259	337	350	168	170	246	261	233	236
CT67	2	157	157	177	177	311	311	151	158	278	278	389	401	302	302	272	290	344	344	174	180	249	261	245	245
CT68	2	157	157	175	177	299	314	149	149	278	278	389	389	304	304	247	257	348	348	174	183	258	258	236	245
CT69	2	157	157	175	177	311	314	147	148	276	282	389	401	300	304	284	295	338	356	178	180	240	261	245	248
CT70	2	157	161	175	175	311	314	149	151	278	280	389	401	304	320	245	245	341	352	161	161	261	261	236	245
CT71	2	157	157	175	175	311	317	151	154	282	286	389	389	302	304	245	255	341	341	176	184	261	261	245	245
CT72	2	157	157	175	177	314	317	156	174	278	282	401	401	306	312	255	274	354	357	170	172	246	258	236	245
CT73	2	157	161	175	177	311	311	149	151	278	280	389	389	299	306	257	274	347	347	166	178	249	255	245	245
CT74	2	157	157	175	175	311	311	149	149	278	282	389	389	300	304	263	263	331	346	160	180	240	252	245	245
CT75	2	157	157	175	175	311	314	147	149	273	282	402	402	315	317	245	261	350	354	170	183	252	258	245	245
CT76	2	157	157	177	177	311	317	148	148	278	288	401	401	304	311	179	261	354	360	170	179	246	255	233	248
CT77	1	157	163	175	175	308	314	142	148	271	288	389	389	302	302	179	223	320	344	161	170	252	255	228	228
CT78	2	157	161	175	175	299	299	148	148	278	290	390	390	304	306	247	257	344	352	154	160	240	249	245	245
CT79	1	157	163	175	175	281	293	144	148	276	282	390	414	-9	-9	179	244	328	337	168	168	246	252	233	233
CT80	1	157	163	175	175	293	305	144	153	271	282	389	426	-9	-9	179	235	318	326	172	172	243	249	233	233
CT81	1	157	163	175	175	302	308	144	145	276	284	389	414	-9	-9	179	244	316	326	150	170	258	258	228	228
CT82	2	157	168	175	175	311	311	148	151	278	278	389	401	310	310	228	280	348	350	168	176	240	255	245	245
CT83	2	157	157	177	177	299	311	150	157	278	282	401	401	304	304	245	284	339	354	180	183	255	255	233	245
CT84	1	157	163	175	175	296	314	145	150	276	282	395	414	-9	-9	179	232	337	355	168	168	252	252	233	233
CT85	1	157	163	175	175	302	302	144	153	269	284	390	390	-9	-9	179	232	316	336	150	170	249	249	228	228
CT86	1	157	163	175	175	293	293	142	148	271	284	395	414	-9	-9	179	246	318	342	164	164	249	252	233	254
CT87	1	157	163	175	175	281	281	142	153	271	282	395	395	-9	-9	179	246	331	338	166	166	252	252	233	233
CT88	1	157	163	175	175	302	311	145	153	271	282	395	426	312	312	179	225	318	349	161	170	249	249	228	254
CT89	1	157	163	175	175	311	311	144	144	271	284	390	414	312	312	179	232	337	348	161	161	255	255	228	254
CT90	1	157	163	175	175	-9	-9	144	144	261	284	390	390	-9	-9	179	232	318	340	170	176	243	249	228	254
CT91	1	163	163	175	175	293	308	144	144	269	271	395	395	-9	-9	232	280	325	346	168	170	252	252	254	254
CT92	1	157	163	175	175	293	314	142	148	276	284	395	414	288	291	179	241	318	342	150	168	243	249	233	254
CT93	2	157	157	175	175	299	311	148	148	273	278	401	414	302	304	257	264	338	343	175	187	240	249	245	245
CT94	1	157	163	175	175	293	308	144	148	276	284	389	408	-9	-9	179	246	337	347	150	168	255	255	233	233
CT95	2	157	168	175	177	311	314	149	156	276	282	389	401	300	306	280	297	347	350	172	174	240	249	245	245
CT96	2	157	157	175	177	311	317	148	150	282	290	389	401	298	300	257	257	348	361	168	183	246	261	236	245
CT97	1	157	163	175	175	293	302	144	144	276	284	390	414	288	291	179	223	326	329	172	172	252	258	233	233
CT98	1	157	163	175	175	302	314	144	161	276	284	395	426	291	292	179	232	326	361	152	174	243	249	228	254
CT99	2	157	157	175	177	311	311	148	151	278	280	401	401	308	308	255	276	352	352	160	183	261	261	236	245
CT100	2	157	157	175	177	311	314	148	151	271	278	389	432	300	300	255	282	343	361	174	184	240	261	245	245
