		L18		Myrt3		P12-1		Pb7		Pb8		Pr1		Pb2		Pb4		Pb9		Po3		Po7		Po8			
OF54	2	157	157	177	177	293	318	150	172	288	290	-9	-9	-9	-9	179	216	-9	-9	162	172	261	261	230	254		
OF55	2	157	157	177	177	314	326	149	155	276	278	382	389	293	293	263	265	318	338	154	170	240	258	222	222		
OF56	1	157	162	175	175	293	293	142	145	271	282	389	426	-9	-9	179	229	348	360	168	168	243	252	228	254		
OF57	1	157	162	175	175	293	302	145	163	271	282	389	426	281	283	179	223	340	354	160	160	252	255	228	254		
OF60	2	157	157	177	181	296	311	147	168	265	286	389	402	296	308	216	220	335	354	156	160	240	240	219	228		
OF61	2	157	157	175	177	311	311	162	169	280	280	389	389	308	308	214	250	334	334	170	174	240	240	228	230		
OF62	1	157	162	175	175	293	293	145	161	269	282	389	426	-9	-9	179	179	340	352	162	162	246	255	228	254		
OF63	2	157	157	177	177	317	317	149	155	262	282	382	388	294	294	229	264	334	350	154	172	258	261	219	222		
OF64	2	157	157	177	177	311	311	142	152	286	288	400	400	-9	-9	229	267	-9	-9	160	168	231	249	254	254		
OF65	2	-9	-9	-9	-9	-9	-9	152	152	-9	-9	390	390	-9	-9	179	223	346	358	161	161	240	240	233	254		
OF67	1	157	162	175	175	293	305	145	153	269	282	389	439	296	317	179	220	334	334	154	156	240	243	233	233		
OF68	2	157	157	177	177	314	317	149	156	278	278	370	370	306	306	248	252	344	347	152	158	249	249	222	245		
OF69	2	157	158	175	177	293	311	155	156	276	294	382	382	294	308	179	259	332	352	156	160	240	255	228	236		
OF70	2	158	158	177	179	302	318	151	163	263	280	370	401	-9	-9	179	223	346	354	161	172	258	258	233	254		
OF71	1	157	162	175	175	293	305	142	142	270	284	390	390	-9	-9	237	247	341	341	150	154	261	261	222	245		
OF72b	2	158	158	177	177	299	318	149	155	264	272	383	383	-9	-9	238	250	-9	-9	-9	-9	244	244	-9	-9		
OF73	1	-9	-9	175	175	-9	-9	-9	-9	-9	-9	390	465	-9	-9	179	225	348	362	164	170	252	255	228	254		
OF74	1	157	162	175	175	293	302	142	144	270	284	390	390	-9	-9	179	221	344	344	160	164	243	252	228	254		
OF75	1	157	162	175	177	-9	-9	142	147	272	282	390	390	-9	-9	179	223	337	337	158	160	243	255	228	254		
OF76	1	-9	-9	175	175	293	302	142	145	-9	-9	390	427	-9	-9	179	233	-9	-9	-9	-9	255	255	228	254		
OF77	1	157	162	175	175	293	302	142	147	270	286	390	390	285	285	179	202	350	355	168	168	243	243	228	254		
OF78	1	157	162	175	175	281	281	142	147	274	282	390	390	-9	-9	179	225	340	352	164	164	255	255	228	254		
OF79	1	157	162	175	175	293	302	147	153	270	284	390	439	-9	-9	179	223	337	337	164	172	255	255	228	254		
OF80	1	157	162	175	175	293	302	147	153	270	282	390	433	-9	-9	179	244	340	340	-9	-9	243	252	230	254		
OF81	1	157	162	175	175	302	311	147	153	272	284	390	439	294	299	179	211	342	342	158	166	252	261	222	231		
OF82	2	157	157	177	177	311	311	152	155	282	292	370	401	-9	-9	179	225	338	356	-9	-9	255	255	228	254		
OF83	1	157	162	175	175	293	314	147	153	270	282	390	390	283	313	179	179	339	343	154	168	246	249	222	230		
OF84	2	157	158	177	177	299	318	143	150	263	282	382	394	-9	-9	233	247	-9	-9	150	164	249	258	225	254		
OF85	2	158	158	177	177	299	299	150	150	274	274	383	383	308	316	179	225	326	328	150	164	246	246	228	254		
OF87	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	179	244	348	352	168	168	255	255	228	254		
OF88	1	157	162	175	175	305	311	147	153	272	284	389	439	-9	-9	179	223	346	356	166	166	258	258	228	254		
OF89	1	157	162	175	175	305	308	147	153	270	282	390	390	299	300	235	252	332	332	152	174	240	249	245	245		
OF90	2	158	162	177	177	293	330	149	163	278	280	390	390	299	300	179	235	338	350	164	164	258	258	228	254		
OF91	1	157	162	175	175	293	302	142	147	272	282	389	427	-9	-9	179	236	346	346	164	164	243	243	228	254		
OF92	1	157	162	175	177	293	305	147	153	270	284	390	390	-9	-9	179	223	-9	-9	164	168	246	252	230	254		
OF93	1	157	162	175	175	293	302	142	153	270	284	390	390	-9	-9	179	248	338	362	-9	-9	246	252	228	254		
OF94	1	157	162	175	175	302	308	147	153	272	284	390	390	-9	-9	179	229	334	336	160	164	255	255	228	254		
OF96	1	157	162	175	175	293	302	142	147	270	286	390	427	281	281	179	223	-9	-9	166	166	255	255	228	254		
OF97	1	157	162	175	175	293	299	142	147	272	282	390	390	278	281	179	235	352	354	164	164	255	255	228	254		
OF98	1	157	162	175	175	293	305	147	161	272	284	390	390	-9	-9	179	244	332	350	166	166	255	255	228	254		
OF100	1	157	162	175	175	293	308	142	153	270	284	389	427	-9	-9	179	245	340	350	170	170	255	255	228	254		
OF102	2	158	160	175	175	314	321	141	141	282	282	383	402	-9	-9	179	260	342	342	152	152	243	246	230	233		
OF103	1	157	162	175	175	302	308	142	142	272	284	390	427	-9	-9	179	241	347	350	-9	-9	243	243	228	254		
OF104w1	1	157	162	175	175	293	296	147	153	270	284	389	427	-9	-9	179	235	346	356	161	168	243	243	228	254		
OF105	1	157	162	175	175	293	293	142	147	270	282	390	427	-9	-9	179	235	347	350	161	176	246	252	228	254		
OF106	1	-9	-9	175	175	293	302	145	153	-9	-9	390	390	-9	-9	179	233	336	352	162	197	243	252	228	254		
OF107	2	-9	-9	177	179	314	317	144	160	-9	-9	390	390	299	300	179	213	341	344	166	166	240	246	-9	-9		
OF108	2	157	158	177	177	317	323	144	149	263	280	383	420	294	296	211	233	324	342	154	156	249	255	-9	-9		
OF109	2	157	158	177	179	299	311	150	150	263	274	382	389	306	310	179	249	334	334	158	158	240	261	-9	-9		
