Colony	Type	Y	X	Elevation	Bush Dist.	Nest Dmtr	Perc Water	%N	%C	%Sand	%Silt	%Clay+50	PebbleWt	Leaf Litter	Veg Biomass	% Veg	% rocks
44	1	0.619	0.251	782	0.7	0.85	8.116863567	0.10	1.84	68.66666667	60	21.33333333	14.988	0.08435	26.028	0.515239833	0.006916287
45	1	0.613	0.253	789	0.95	0.65	7.542117051	0.08	1.12	47.46835443	61.39240506	41.13924051	58.93	0.09215	21.146	0.335039159	0.047142355
52	1	0.619	0.307	788	0.8	1.05	4.283210235	0.11	1.27	55.40540541	60.13513514	34.45945946	18.806	0.06758	16.752	0.307746944	0.008614847
54	1	0.605	0.337	781	0.75	0.8	6.203139257	0.08	1.35	70.1986755	34.43708609	45.36423841	8.723	1.46823	37.598	0.610323435	0.00196165
55	1	0.593	0.346	779	1.1	0.9	5.178012293	0.08	0.99	62.89308176	43.39622642	43.71069182	15.031	0.24877	36.076	0.461418911	0.007639114
58	1	0.565	0.314	783	0.9	0.75	4.915883582	0.07	0.81	76.77419355	49.03225806	24.19354839	12.781	0.13318	12.644	0.377544059	0.004565365
59	1	0.594	0.322	781	0.7	1.05	6.722421541	0.10	1.26	85.62091503	37.90849673	26.47058824	24.504	0.54681	15.447	0.719186507	0.010295219
60	1	0.573	0.315	781	0.8	0.8	7.347198358	0.14	1.42	80.51948052	38.96103896	30.51948052	8.254	0.53114	56.354	0.888578766	0.00022247
61	1	0.6	0.316	783	0.6	0.6	9.011571655	0.06	0.65	78.70967742	40.64516129	30.64516129	13.493	0.21859	16.766	0.785021309	0.002008925
63	1	0.659	0.331	782	0.75	0.55	8.483340819	0.16	1.80	81.20805369	40.26845638	28.52348993	8.672	0.8967	23.854	0.438989842	0.053066587
65	1	0.667	0.329	780	0.65	0.55	8.730348191	0.13	2.31	70.06802721	40.81632653	39.11564626	14.012	0.1045	14.964	0.812138992	0.000515666
66	1	0.683	0.314	782	2.6	0.25	5.197902257	0.15	1.68	66.66666667	51.33333333	32	3.69	1.14998	95.45	0.469435451	0.017584221
68	1	0.708	0.31	783	0.45	0.6	7.253149319	0.10	1.54	70	46.66666667	33.33333333	21.925	0.69149	12.544	0.231864878	0.0323313
69	1	0.705	0.299	785	1.25	0.95	6.752266016	0.09	1.06	64	53.33333333	32.66666667	24.409	0.81664	13.351	0.434295012	0.000867406
70	1	0.704	0.293	784	0.9	0.95	5.640060686	0.11	1.18	68.66666667	47.33333333	34	19.768	0.26689	11.863	0.193023443	0.035091989
72	1	0.72	0.315	783	0.35	0.45	7.052160739	0.07	0.91	62.16216216	50.67567568	37.16216216	47.782	0.11714	16.243	0.286368302	0.034342636
82	1	0.75	0.306	786	0.6	0.7	10.1129803	0.08	1.94	50	57.59493671	42.40506329	34.241	0.21528	17.711	0.470959612	0.005925308
84	1	0.737	0.283	786	0.9	1.1	7.00811049	0.07	1.41	64.33121019	54.14012739	31.52866242	25.07	0.13589	18.573	0.422415124	0.003710025
90	1	0.578	0.169	780	0.45	1	6.471217213	0.17	1.82	51.63398693	76.47058824	21.89542484	17.52	0.76438	52.183	0.952682299	0.000649915
